response_id	property_id	stay_date_weekday	season	purpose	channel	loyalty_tier	room_type	stay_nights	lead_time_days	rate_usd	issue_reported	cleanliness_score	staff_friendliness_score	checkin_score	room_comfort_score	value_for_money_score	wifi_score	breakfast_score	noise_level_score	problem_resolution_score	overall_satisfaction_score	likelihood_to_recommend	comment_text
R000033	H001	Fri	Fall	Business	Direct	Gold	Standard	2	19	149.08	0	7	10	6	6	8	5	7	10	10	7	6	wifi was fast; AC was loud; could be better
R000034	H005	Thu	Spring	Business	OTA	None	Standard	7	16	104.95	1	7	8	3	4	6	2	5	4	6	4	5	mobile check-in worked well; not what I expected
R000035	H010	Mon	Summer	Business	OTA	Diamond	Premium	2	22	172.14	0	8	8	6	6	7	6	8	10	6	7	8	fees felt high; could be better
R000036	H001	Fri	Summer	Business	Direct	Diamond	Standard	7	26	250.84	0	4	6	6	4	5	3	9	3	5	4	6	street noise was noticeable; not what I expected
R000037	H013	Thu	Spring	Business	Corporate	Gold	Premium	1	38	129.19	0	8	8	9	8	9	9	10	4	7	8	8	room felt small; breakfast was crowded; okay overall
R000038	H011	Sat	Spring	Business	Direct	Silver	Standard	4	12	172.5	0	4	5	7	3	6	3	4	5	6	4	4	limited breakfast options; not what I expected
R000039	H012	Tue	Winter	Business	Corporate	Silver	Standard	5	20	80.0	0	2	3	5	5	3	5	7	6	4	4	5	fees felt high; won’t be back
R000040	H011	Mon	Spring	Leisure	Corporate	Silver	Premium	7	17	146.87	1	6	6	9	9	10	9	5	4	4	6	7	room was spotless; met expectations
R000041	H014	Tue	Fall	Business	Direct	None	Standard	7	30	234.83	0	5	5	6	5	5	3	6	4	5	5	3	fees felt high; could be better
R000042	H014	Tue	Winter	Leisure	Direct	Silver	Premium	6	47	127.94	0	6	9	6	8	6	8	7	3	6	6	7	overpriced for what you get; noise from hallway; met expectations
R000043	H014	Fri	Fall	Leisure	Direct	Silver	Standard	7	31	98.69	0	6	3	6	5	1	6	3	5	4	4	5	check-in was quick; needs improvement
R000044	H005	Wed	Winter	Business	OTA	Silver	Standard	7	28	128.43	0	6	7	8	8	7	7	4	5	6	7	7	maintenance fixed it; could be better
R000045	H014	Mon	Spring	Leisure	Direct	None	Standard	4	29	138.42	0	3	6	7	4	6	5	3	5	3	4	4	could hear neighbors; breakfast was great; not what I expected
R000046	H004	Sun	Summer	Leisure	Group	Silver	Premium	7	33	220.88	0	4	5	7	6	3	8	5	7	3	5	6	great service from the team; okay overall
R000047	H001	Mon	Fall	Business	Direct	Silver	Standard	6	47	197.79	1	7	8	6	5	7	8	6	4	3	5	6	street noise was noticeable; internet was reliable; could be better
R000048	H020	Wed	Winter	Business	Corporate	None	Standard	3	0	209.38	0	5	6	7	4	3	7	3	2	3	4	5	wifi was fast; not what I expected
R000049	H004	Sun	Winter	Leisure	Direct	Diamond	Standard	7	25	176.71	1	6	9	7	7	5	7	6	4	4	6	6	room was spotless; could be better
R000050	H003	Fri	Summer	Business	Group	Gold	Suite	1	0	137.81	1	4	3	5	4	3	5	1	2	3	2	3	could hear neighbors; needs improvement
R000051	H007	Wed	Spring	Business	Direct	None	Premium	1	29	128.42	0	5	4	8	2	5	3	6	6	5	6	7	quiet at night; met expectations
R000052	H020	Sun	Summer	Business	OTA	None	Premium	2	25	200.94	1	5	6	5	5	6	5	8	2	2	3	5	problem wasn’t resolved; needs improvement
R000053	H018	Thu	Fall	Leisure	OTA	Silver	Standard	4	11	270.34	0	10	9	10	10	9	9	10	8	10	10	10	fees felt high; slow response from staff; highly recommend
R000054	H015	Mon	Winter	Leisure	Direct	None	Standard	1	0	118.56	0	6	8	6	8	5	9	8	6	1	6	7	bed was comfortable; room was spotless; okay overall
R000055	H004	Mon	Fall	Leisure	Corporate	Gold	Premium	2	18	113.92	0	8	10	7	7	10	7	10	7	7	9	8	cleaning was excellent; highly recommend
R000056	H013	Sun	Winter	Leisure	Direct	None	Premium	2	21	106.85	0	5	3	2	6	5	6	5	2	4	4	5	cleaning was excellent; bed was comfortable; needs improvement
R000057	H017	Wed	Fall	Business	OTA	None	Premium	2	17	224.89	0	2	3	4	6	6	8	6	3	7	5	5	noise from hallway; okay overall
R000058	H007	Sat	Fall	Leisure	OTA	None	Premium	1	11	172.47	0	2	3	1	1	3	3	1	5	9	3	3	room was spotless; needs improvement
R000059	H006	Mon	Summer	Business	OTA	Gold	Premium	2	7	208.32	0	5	7	6	4	5	8	9	7	9	6	5	AC was loud; wifi kept dropping; okay overall
R000060	H018	Tue	Fall	Business	Direct	Diamond	Standard	2	17	144.52	0	8	5	9	9	9	10	8	10	8	9	9	slow response from staff; would definitely return
R000061	H003	Sat	Fall	Leisure	Direct	Gold	Standard	6	8	212.09	0	4	5	2	5	4	3	7	2	1	3	3	could hear neighbors; keys didn’t work at first; not what I expected
R000062	H019	Sun	Winter	Business	Direct	Silver	Suite	5	28	157.74	0	8	7	6	6	7	4	9	8	6	7	8	slow response from staff; could be better
R000063	H010	Mon	Winter	Leisure	Direct	Gold	Standard	3	17	82.3	0	4	6	3	6	5	7	5	4	4	5	5	slow response from staff; could be better
R000064	H015	Tue	Winter	Leisure	Direct	None	Standard	1	0	230.37	0	3	9	4	4	5	5	3	4	1	4	4	great view from the room; not what I expected
R000065	H008	Fri	Summer	Leisure	Group	Silver	Standard	4	20	172.83	1	4	3	4	3	2	2	1	2	7	4	5	check-in was quick; won’t be back
R000066	H015	Thu	Summer	Leisure	OTA	Diamond	Standard	3	23	156.38	0	5	8	6	6	6	8	5	3	5	6	7	bathroom could be cleaner; issue was resolved quickly; okay overall
R000067	H019	Wed	Summer	Leisure	OTA	None	Premium	5	37	191.88	0	7	7	8	6	6	9	5	3	8	7	7	bathroom could be cleaner; okay overall
R000068	H010	Tue	Summer	Business	OTA	Diamond	Premium	2	29	88.35	0	9	10	8	8	5	7	6	6	10	8	9	front desk was unhelpful; could be better
R000069	H005	Sun	Spring	Business	Direct	None	Standard	7	7	200.84	0	7	7	8	8	8	5	6	4	5	7	4	long line at check-in; met expectations
R000070	H002	Tue	Winter	Business	OTA	None	Standard	1	35	139.25	0	3	5	3	5	5	2	1	1	1	4	5	breakfast was great; won’t be back
R000071	H019	Tue	Spring	Business	Direct	Silver	Standard	6	1	165.63	1	5	8	8	8	6	9	8	9	9	8	6	front desk was unhelpful; met expectations
R000072	H020	Wed	Fall	Business	Direct	Diamond	Premium	5	18	243.36	0	9	7	10	9	4	8	7	10	5	8	9	overpriced for what you get; room was spotless; okay overall
R000073	H014	Tue	Spring	Leisure	OTA	None	Standard	5	27	213.53	0	6	5	6	6	4	6	4	7	6	6	7	overpriced for what you get; wifi kept dropping; could be better
R000074	H001	Thu	Spring	Business	OTA	Gold	Standard	7	36	164.42	1	9	9	10	10	9	8	8	3	8	9	9	bathroom could be cleaner; highly recommend
R000075	H018	Wed	Winter	Business	Group	None	Standard	4	41	168.93	0	3	5	1	4	6	3	1	4	8	3	4	mobile check-in worked well; won’t be back
R000076	H010	Fri	Fall	Business	Direct	Gold	Standard	6	33	80.0	0	7	9	7	9	8	7	8	7	9	8	8	long line at check-in; could be better
R000077	H005	Wed	Spring	Business	OTA	Silver	Standard	4	16	125.69	0	9	8	8	9	9	9	9	5	10	9	9	mobile check-in worked well; would definitely return
R000078	H008	Mon	Summer	Leisure	Direct	None	Standard	5	25	185.03	0	4	3	3	5	2	6	6	1	2	5	4	reasonable rate; okay overall
R000079	H019	Sun	Winter	Leisure	Direct	Gold	Standard	4	21	129.15	1	8	8	5	6	5	8	4	7	10	6	6	internet was reliable; met expectations
R000080	H016	Thu	Winter	Leisure	Corporate	Gold	Standard	7	9	95.41	0	8	10	9	9	10	9	10	10	10	9	10	wifi was weak in the room; would definitely return
R000081	H012	Wed	Summer	Leisure	Direct	Silver	Standard	3	17	203.81	0	4	6	6	2	5	7	2	5	4	5	6	issue was resolved quickly; met expectations
R000082	H015	Mon	Summer	Business	OTA	None	Standard	6	40	253.39	1	2	2	8	4	5	3	4	8	3	2	3	breakfast was crowded; maintenance fixed it; needs improvement
R000083	H017	Fri	Summer	Leisure	OTA	None	Standard	2	26	131.72	0	2	4	6	4	5	3	4	1	4	3	3	took too long to address; needs improvement
R000084	H013	Sat	Spring	Business	Direct	Diamond	Premium	1	43	227.5	0	8	9	10	8	9	8	8	7	8	8	8	took too long to address; met expectations
R000085	H007	Fri	Fall	Business	Group	Silver	Standard	5	5	218.49	1	4	5	8	9	5	5	4	5	5	5	4	good value; wifi was weak in the room; met expectations
R000086	H002	Sat	Summer	Business	OTA	Gold	Premium	2	13	116.39	0	1	6	6	5	5	2	2	4	7	5	5	wifi was weak in the room; issue was resolved quickly; okay overall
R000087	H003	Tue	Fall	Leisure	Corporate	Silver	Standard	1	23	131.34	0	3	7	3	5	4	5	6	3	1	3	2	long line at check-in; needs improvement
R000088	H005	Sun	Winter	Business	OTA	Gold	Premium	5	27	283.19	0	7	6	5	6	5	5	6	5	8	6	5	hallways felt dirty; could be better
R000089	H016	Tue	Spring	Business	Group	None	Standard	5	17	107.98	0	6	6	4	8	6	4	5	8	4	6	5	wifi was fast; met expectations
R000090	H002	Tue	Spring	Business	Direct	Silver	Standard	5	28	138.46	1	3	7	6	8	4	5	3	10	5	5	6	wifi was fast; could be better
R000091	H003	Thu	Fall	Business	OTA	Silver	Standard	4	28	292.94	1	6	5	4	5	4	4	7	3	3	3	4	wifi kept dropping; not what I expected
R000092	H020	Mon	Summer	Leisure	Corporate	None	Standard	6	1	140.87	0	5	8	6	6	8	6	6	4	8	7	8	quiet at night; okay overall
R000093	H009	Thu	Summer	Business	Direct	None	Standard	1	27	256.18	0	2	1	4	2	3	3	3	1	1	2	2	took too long to address; not what I expected
R000094	H003	Tue	Winter	Business	OTA	Silver	Premium	2	31	113.68	1	6	4	1	4	4	6	3	6	5	4	5	limited breakfast options; won’t be back
R000095	H018	Sat	Winter	Business	Group	Gold	Standard	3	22	183.3	0	7	7	4	6	7	7	7	6	6	7	8	reasonable rate; could hear neighbors; met expectations
R000096	H020	Sat	Winter	Leisure	OTA	Silver	Suite	7	0	240.16	0	7	9	9	6	7	9	6	8	8	8	7	great service from the team; okay overall
R000097	H011	Fri	Fall	Business	OTA	None	Standard	6	15	146.95	1	5	6	4	7	7	5	5	9	5	5	3	mobile check-in worked well; okay overall
R000098	H003	Thu	Spring	Business	OTA	Diamond	Standard	4	23	180.98	0	5	5	6	5	5	7	5	5	1	5	5	long line at check-in; okay overall
R000099	H013	Wed	Winter	Business	Corporate	None	Premium	7	8	219.67	0	4	8	6	4	5	2	9	6	6	5	6	maintenance fixed it; met expectations
R000100	H018	Sat	Spring	Leisure	Corporate	None	Standard	7	29	120.88	0	7	10	5	6	10	6	7	2	6	7	9	quiet at night; okay overall
R000101	H020	Thu	Winter	Leisure	OTA	Diamond	Standard	1	27	309.42	1	9	8	5	9	6	1	6	8	6	6	7	internet was reliable; met expectations
R000102	H012	Thu	Fall	Leisure	Direct	Gold	Standard	4	20	237.26	0	6	6	6	5	6	5	6	7	7	6	5	fees felt high; okay overall
R000103	H019	Mon	Spring	Business	Direct	Diamond	Standard	7	18	153.56	0	5	4	2	5	1	2	5	5	4	4	4	good value; took too long to address; not what I expected
R000104	H017	Tue	Fall	Leisure	OTA	Gold	Standard	2	20	160.91	0	5	3	4	5	3	8	5	1	5	4	5	good coffee; overpriced for what you get; not what I expected
R000105	H004	Wed	Summer	Leisure	Corporate	Silver	Standard	2	18	289.7	0	8	5	7	9	5	9	5	2	8	8	9	front desk was unhelpful; met expectations
R000106	H013	Fri	Summer	Leisure	OTA	None	Standard	3	3	153.71	1	3	7	5	4	5	4	7	6	4	4	4	problem wasn’t resolved; needs improvement
R000107	H014	Sat	Summer	Business	Direct	None	Standard	7	13	146.67	0	8	8	6	8	8	6	10	5	7	8	7	noise from hallway; internet was reliable; could be better
R000108	H016	Sun	Summer	Business	Direct	Diamond	Standard	2	19	243.77	1	9	8	10	10	5	4	9	10	10	8	9	check-in was quick; could be better
R000109	H011	Thu	Summer	Business	OTA	Gold	Standard	5	35	90.97	1	7	8	7	8	6	5	9	6	5	8	7	problem wasn’t resolved; could be better
R000110	H015	Thu	Winter	Leisure	Corporate	None	Premium	2	26	170.3	0	5	4	4	5	5	2	6	5	6	6	7	limited breakfast options; could be better
R000111	H012	Sat	Fall	Business	Direct	None	Standard	6	36	180.05	0	5	9	4	6	3	6	7	6	8	7	6	overpriced for what you get; met expectations
R000112	H006	Wed	Spring	Business	OTA	None	Standard	7	1	132.78	0	6	5	4	6	5	6	3	2	7	6	4	hallways felt dirty; okay overall
R000113	H010	Thu	Spring	Business	Corporate	None	Suite	1	14	81.06	0	9	10	9	8	9	8	8	7	10	9	9	front desk was unhelpful; highly recommend
R000114	H019	Fri	Spring	Leisure	Group	Gold	Premium	3	43	179.15	0	7	5	4	4	3	4	3	6	4	5	5	staff was friendly; okay overall
R000115	H017	Tue	Summer	Business	Direct	None	Standard	5	9	216.29	0	3	4	5	4	2	3	4	7	4	3	2	cleaning was excellent; not what I expected
R000116	H013	Wed	Spring	Leisure	Group	None	Standard	2	9	134.26	1	6	8	4	8	5	5	6	2	3	6	7	could hear neighbors; met expectations
R000117	H007	Wed	Spring	Leisure	OTA	Diamond	Standard	5	15	104.21	0	1	6	6	6	2	3	3	3	6	3	1	problem wasn’t resolved; not what I expected
R000118	H005	Fri	Winter	Leisure	Corporate	Silver	Premium	3	42	250.36	0	7	8	8	7	4	7	8	8	8	6	6	staff was friendly; okay overall
R000119	H006	Wed	Spring	Business	Direct	Silver	Standard	1	10	206.69	0	3	7	3	4	2	6	4	4	3	5	6	breakfast was great; maintenance fixed it; met expectations
R000120	H007	Tue	Winter	Leisure	OTA	None	Standard	5	25	153.29	1	4	3	5	3	7	5	3	3	5	3	3	bed was comfortable; needs improvement
R000121	H020	Tue	Fall	Leisure	OTA	None	Standard	1	23	230.25	0	9	9	8	9	8	8	6	7	10	9	9	took too long to address; would definitely return
R000122	H011	Sat	Spring	Leisure	Direct	None	Standard	2	0	189.5	0	5	7	7	7	5	8	4	2	7	5	4	cleaning was excellent; could be better
R000123	H008	Sun	Fall	Business	OTA	None	Standard	2	18	282.35	0	1	4	2	1	1	3	5	6	3	2	2	limited breakfast options; could hear neighbors; needs improvement
R000124	H018	Sun	Summer	Business	OTA	None	Premium	1	11	214.85	0	10	10	9	8	10	10	8	10	10	9	10	issue was resolved quickly; would definitely return
R000125	H008	Sat	Fall	Business	OTA	None	Standard	3	26	91.61	1	6	3	3	3	1	3	3	1	3	2	1	street noise was noticeable; not what I expected
R000126	H016	Tue	Fall	Business	Direct	None	Standard	7	39	135.48	1	6	2	2	5	4	4	5	3	4	3	1	slow response from staff; needs improvement
R000127	H013	Mon	Spring	Business	OTA	None	Premium	3	14	138.35	0	4	4	5	3	4	3	5	2	4	4	4	keys didn’t work at first; not what I expected
R000128	H007	Thu	Summer	Business	Direct	Diamond	Standard	2	14	193.57	0	8	4	5	7	5	3	8	6	4	6	6	wifi was fast; could be better
R000129	H020	Thu	Winter	Business	Group	None	Standard	6	48	156.79	0	5	5	6	4	2	4	2	5	5	4	2	great service from the team; needs improvement
R000130	H014	Sat	Winter	Leisure	Group	None	Standard	7	9	107.36	0	6	7	7	6	7	8	5	3	5	6	5	great view from the room; okay overall
R000131	H020	Tue	Spring	Business	Direct	Gold	Premium	3	2	210.35	0	6	6	4	4	3	2	2	4	6	5	7	breakfast was great; could be better
R000132	H001	Sun	Summer	Leisure	Direct	None	Standard	1	35	235.01	0	7	6	4	6	5	6	7	6	3	5	6	wifi kept dropping; front desk was unhelpful; could be better
R000133	H006	Wed	Fall	Leisure	Direct	Silver	Premium	6	17	168.84	0	5	8	5	6	5	5	5	7	2	5	6	check-in was quick; could be better
R000134	H007	Fri	Spring	Business	OTA	Gold	Standard	5	21	187.57	0	4	7	8	6	6	5	5	3	6	7	7	issue was resolved quickly; okay overall
R000135	H014	Sat	Summer	Leisure	Corporate	Silver	Standard	7	45	116.95	0	7	9	6	9	4	6	5	7	4	6	4	great service from the team; could be better
R000136	H017	Thu	Spring	Business	OTA	None	Standard	5	1	143.65	0	2	2	1	5	2	3	1	4	4	3	4	cleaning was excellent; wifi was fast; won’t be back
R000137	H003	Sat	Winter	Leisure	Direct	Gold	Standard	7	16	146.1	0	6	4	4	5	4	5	1	4	3	4	3	issue was resolved quickly; needs improvement
R000138	H004	Sat	Winter	Business	Direct	Silver	Standard	2	3	208.52	0	9	5	7	8	6	7	3	4	9	8	7	check-in was quick; okay overall
R000139	H014	Sat	Summer	Leisure	Direct	None	Premium	2	22	190.36	0	6	5	6	6	6	5	6	8	5	5	5	bed was comfortable; room was spotless; okay overall
R000140	H008	Sat	Summer	Business	Corporate	None	Standard	5	11	155.22	0	4	3	3	2	2	3	1	1	2	3	3	wifi kept dropping; needs improvement
R000141	H014	Wed	Spring	Business	OTA	None	Standard	6	4	152.84	0	4	7	6	6	7	5	8	6	7	5	4	hallways felt dirty; met expectations
R000142	H001	Wed	Winter	Business	OTA	Gold	Premium	3	27	80.0	0	9	9	10	9	8	9	5	7	9	9	8	noise from hallway; fees felt high; great stay overall
R000143	H011	Sat	Summer	Leisure	Direct	None	Standard	4	18	271.35	0	4	4	5	5	3	6	7	8	6	4	5	mobile check-in worked well; not what I expected
R000144	H001	Fri	Fall	Leisure	Group	None	Standard	3	3	80.0	0	7	6	6	4	2	6	5	2	5	5	7	street noise was noticeable; reasonable rate; okay overall
R000145	H020	Fri	Winter	Business	Direct	Silver	Standard	1	4	200.31	0	6	9	6	8	3	4	9	6	6	7	7	room felt small; could be better
R000146	H003	Wed	Summer	Business	Corporate	Diamond	Standard	7	20	177.26	0	6	7	5	6	8	4	10	5	2	6	7	took too long to address; hallways felt dirty; met expectations
R000147	H004	Tue	Summer	Business	Corporate	None	Suite	7	0	159.06	0	5	5	3	2	4	5	5	3	5	4	4	room felt small; noise from hallway; needs improvement
R000148	H003	Thu	Summer	Business	OTA	None	Suite	7	21	174.51	0	5	7	7	5	3	4	7	6	7	5	6	quiet at night; met expectations
R000149	H005	Sun	Winter	Business	Corporate	None	Standard	4	34	135.22	0	8	9	8	7	9	7	9	8	8	9	9	bathroom could be cleaner; would definitely return
R000150	H010	Wed	Fall	Business	Direct	Silver	Premium	2	26	214.17	0	9	10	9	9	10	9	8	10	10	9	10	front desk was unhelpful; good coffee; highly recommend
R000151	H013	Wed	Summer	Leisure	OTA	Silver	Standard	3	11	96.19	0	1	3	7	4	4	5	5	3	4	3	2	room felt small; overpriced for what you get; won’t be back
R000152	H019	Tue	Spring	Leisure	Direct	Gold	Suite	5	21	194.67	0	5	6	6	8	7	6	6	5	5	6	6	room was spotless; met expectations
R000153	H018	Thu	Fall	Business	OTA	None	Premium	2	3	134.33	0	5	7	7	5	4	8	6	8	3	6	6	issue was resolved quickly; met expectations
R000154	H002	Wed	Fall	Leisure	Direct	None	Standard	2	20	149.38	0	4	3	2	3	5	2	3	6	5	4	4	long line at check-in; won’t be back
R000155	H009	Fri	Summer	Business	Direct	None	Standard	7	14	151.01	0	5	6	4	6	6	6	6	7	5	5	6	breakfast was great; okay overall
R000156	H018	Tue	Fall	Leisure	Direct	None	Premium	1	6	165.08	0	9	10	9	8	8	10	8	7	6	9	7	quiet at night; highly recommend
R000157	H004	Tue	Winter	Business	Direct	Silver	Standard	5	25	205.13	0	9	9	6	10	8	6	7	4	8	8	9	maintenance fixed it; wifi kept dropping; okay overall
R000158	H014	Mon	Fall	Leisure	OTA	Gold	Standard	2	0	172.85	0	4	7	7	10	6	5	10	9	8	7	8	front desk was unhelpful; could be better
R000159	H009	Mon	Spring	Leisure	OTA	None	Standard	1	4	230.98	0	4	4	3	7	4	2	6	6	4	4	4	great service from the team; won’t be back
R000160	H004	Sat	Fall	Leisure	Direct	Gold	Standard	5	5	237.69	0	3	9	3	4	6	6	6	5	4	5	5	bed was comfortable; met expectations
R000161	H002	Sun	Spring	Business	Group	None	Standard	2	12	193.53	0	3	5	2	4	5	2	4	3	2	3	3	noise from hallway; not what I expected
R000162	H006	Sat	Winter	Leisure	Group	Silver	Standard	6	34	215.96	0	3	3	4	4	5	4	5	3	3	4	4	could hear neighbors; needs improvement
R000163	H001	Sat	Spring	Business	Direct	None	Standard	6	27	296.5	0	3	6	3	4	6	3	7	7	5	5	5	wifi was fast; mobile check-in worked well; okay overall
R000164	H004	Mon	Fall	Business	OTA	Silver	Standard	4	19	90.2	1	9	10	7	7	3	7	10	4	5	6	6	keys didn’t work at first; bathroom could be cleaner; could be better
R000165	H011	Sun	Summer	Leisure	OTA	None	Standard	2	19	239.57	0	3	3	3	4	1	2	4	5	4	4	4	reasonable rate; noise from hallway; needs improvement
R000166	H016	Thu	Fall	Business	Corporate	Diamond	Standard	7	18	267.69	0	7	10	5	9	7	5	10	8	10	8	7	wifi kept dropping; met expectations
R000167	H011	Sat	Winter	Leisure	OTA	Diamond	Standard	3	34	201.02	0	7	4	6	9	7	5	2	4	5	6	6	front desk was unhelpful; could be better
R000168	H015	Fri	Winter	Leisure	Corporate	Gold	Standard	6	0	289.24	0	5	7	3	7	5	7	4	8	8	6	6	wifi kept dropping; met expectations
R000169	H002	Wed	Summer	Business	Direct	Gold	Standard	2	27	281.43	0	2	1	4	3	1	3	5	2	2	3	5	issue was resolved quickly; needs improvement
R000170	H007	Tue	Spring	Leisure	Direct	None	Standard	2	12	154.78	0	5	4	5	5	3	4	4	2	9	5	5	internet was reliable; fees felt high; met expectations
R000171	H014	Mon	Summer	Business	Corporate	Silver	Standard	5	24	159.37	0	4	5	4	6	5	6	5	9	3	5	3	breakfast was great; okay overall
R000172	H002	Wed	Fall	Business	OTA	None	Standard	2	24	206.84	1	3	3	3	3	3	1	5	4	1	2	2	staff was friendly; needs improvement
R000173	H012	Thu	Summer	Business	Corporate	Gold	Standard	4	27	137.55	0	6	6	5	6	9	9	8	6	6	6	6	wifi was fast; okay overall
R000174	H004	Sun	Spring	Leisure	Direct	None	Premium	5	37	337.67	0	4	3	1	3	1	5	5	4	1	2	1	front desk was unhelpful; not what I expected
R000175	H009	Mon	Summer	Business	Direct	None	Standard	1	2	222.33	0	4	4	4	2	2	1	1	2	2	3	5	reasonable rate; won’t be back
R000176	H013	Fri	Fall	Business	Direct	Silver	Premium	3	30	177.79	0	8	7	7	9	10	8	8	8	8	8	8	wifi kept dropping; great service from the team; could be better
R000177	H020	Thu	Summer	Business	Direct	None	Standard	2	17	90.39	0	6	6	6	6	4	3	6	6	7	5	4	hallways felt dirty; could be better
